country_clean,avg_risk_index,avg_fatal_risk,severe_damage_rate,total_accidents,overall_risk_score
Dominican Republic,0.7926910584753168,0.6544850974588615,1.0,1,1.0
Sri Lanka,0.7909355941667574,0.6515593236112623,1.0,1,0.9977854369747327
Malawi,0.7215410714270138,0.5359017857116898,1.0,1,0.9102424755677769
Cameroon,0.7179382473730391,0.5298970789550651,1.0,2,0.9056974210784473
Slovakia,0.7146409760047042,0.5244016266745071,1.0,3,0.901537829099856
Ecuador,0.7128778211633775,0.5214630352722958,1.0,4,0.899313564271238
Nepal,0.7014104934727551,0.5023508224545916,1.0,13,0.884847237739589
Mongolia,0.6649446844890358,0.44157447414839296,1.0,1,0.8388446890873327
Madagascar,0.6331665191729098,0.3886108652881829,1.0,1,0.7987557225519349
Zimbabwe,0.6270283897255762,0.37838064954262696,1.0,2,0.7910123156070655
Aruba,0.623593776499898,0.3726562941664967,1.0,1,0.7866794633704269
Tanzania,0.6146528636115601,0.44108810601926685,0.875,8,0.7754002735867865
Estonia,0.6145489644886761,0.3575816074811268,1.0,1,0.775269202191729
Kazakhstan,0.5871429979127051,0.31190499652117526,1.0,19,0.7406958759469693
Honduras,0.5813365429091093,0.3022275715151822,1.0,10,0.7333708847773148
Kyrgyzstan,0.5792153143242946,0.29869219054049095,1.0,2,0.7306949007831284
Tajikistan,0.5784542848880369,0.2974238081467281,1.0,1,0.7297348427275706
Egypt,0.5681663365758539,0.2802772276264231,1.0,4,0.716756333379968
Russia,0.5583295395697251,0.30669602160703413,0.9357798165137615,109,0.7043469629184805
Costa Rica,0.549261094536778,0.24876849089462993,1.0,3,0.6929068880797539
Lithuania,0.5481141874903721,0.24685697915062016,1.0,2,0.6914600355712723
Bulgaria,0.5462483816636876,0.24374730277281276,1.0,2,0.6891062739049388
Ukraine,0.5442399809564664,0.2403999682607773,1.0,18,0.6865726251577406
Comoros,0.5383409665854775,0.23056827764246252,1.0,2,0.6791308679839746
Iraq,0.5359975427130521,0.3219006664265155,0.8571428571428571,7,0.6761745789639713
Ethiopia,0.53434214274433,0.3072369045738833,0.875,8,0.6740862496570833
Poland,0.533501313896957,0.22250218982826162,1.0,7,0.6730255226078968
Venezuela,0.5316362805832837,0.24503482661316528,0.9615384615384616,52,0.6706727354864418
Malaysia,0.5272291022973807,0.3072865990670631,0.8571428571428571,7,0.6651129676061532
Colombia,0.5271705561450243,0.2952842602417071,0.875,32,0.6650391101408387
Armenia,0.5249701746782038,0.2082836244636731,1.0,1,0.6622632727659947
Yemen,0.5210986701276359,0.2018311168793931,1.0,5,0.6573792709733991
Jordan,0.516481868436864,0.19413644739477315,1.0,2,0.651555057818211
Switzerland,0.5160371361118101,0.3267285601863502,0.8,5,0.6509940166404422
South Sudan,0.5146489014006989,0.2577481690011647,0.9,40,0.6492427231241744
Haiti,0.5135369000563481,0.18922816676058024,1.0,2,0.6478399050496403
Democratic Republic of the Congo,0.5107318693202437,0.2629844880827592,0.8823529411764706,34,0.6443012871907488
Portugal,0.5103952379666743,0.18399206327779044,1.0,5,0.6438766181472794
Guatemala,0.5083827926331305,0.23778084486474127,0.9142857142857143,35,0.641337867000755
Mexico,0.5080289345650242,0.21708526131207737,0.9444444444444444,54,0.6408914660172661
Bangladesh,0.5075557013193165,0.40148172442108293,0.6666666666666666,3,0.6402944702007396
Romania,0.5050745005207569,0.17512416753459467,1.0,5,0.637164372072306
Myanmar,0.49788232745991656,0.31128536058134243,0.7777777777777778,9,0.6280912622094624
Kenya,0.49288167644339675,0.22497823266881908,0.8947368421052632,19,0.6217828133338839
Turkey,0.4909755421401072,0.24686399880494067,0.8571428571428571,21,0.6193781762651173
Lesotho,0.4882102619286679,0.14701710321444642,1.0,1,0.6158897047075371
Peru,0.4803760517357892,0.1339600862263152,1.0,13,0.6060066486176309
Sint Maarten,0.4763511521035001,0.1272519201725001,1.0,1,0.6009291350147516
Afghanistan,0.47545419916038867,0.19983107267472183,0.8888888888888888,9,0.599797605986486
Serbia,0.4727999483014888,0.12133324716914799,1.0,2,0.5964492007906395
Iran,0.4718489179257885,0.25308152987631416,0.8,15,0.5952494517010893
Brazil,0.470429021997678,0.17217622387740847,0.9178082191780822,73,0.5934582167515725
Micronesia,0.4689064637730633,0.1148441062884387,1.0,3,0.5915374706950404
Greenland,0.4688939482906802,0.11482324715113369,1.0,1,0.591521682094615
Chile,0.4684405374729664,0.30454375293113445,0.7142857142857143,7,0.5909496927768776
Philippines,0.4659707334391327,0.34524534004561336,0.6470588235294118,17,0.5878339719579949
India,0.4638908568723266,0.20904886401798023,0.8461538461538461,39,0.5852101545898433
Cuba,0.46315312894311383,0.27192188157185637,0.75,4,0.5842794919800848
Namibia,0.4593081444033615,0.09884690733893575,1.0,2,0.5794289458579324
Qatar,0.458232952561901,0.09705492093650159,1.0,1,0.5780725639106848
Guyana,0.4577396162388149,0.26289936039802475,0.75,8,0.5774502075490084
Sudan,0.4572008999043937,0.11385335169250799,0.9722222222222222,36,0.5767706031449202
Central African Republic,0.4566874999527662,0.0944791665879436,1.0,3,0.5761229360038085
Singapore,0.45632742059304515,0.0938790343217419,1.0,2,0.5756686867021782
Argentina,0.4560397651588359,0.12370263890109007,0.9545454545454546,22,0.575305802030863
Tonga,0.4533799266198471,0.08896654436641178,1.0,1,0.5719503478339849
Uruguay,0.4529581756726725,0.08826362612112082,1.0,1,0.5714182982509028
Indonesia,0.45179759909265804,0.2085515540433189,0.8166666666666667,60,0.5699542012769232
Suriname,0.44712825848833676,0.07854709748056127,1.0,2,0.5640637089414824
El Salvador,0.44680468710965415,0.07800781184942353,1.0,1,0.5636555153896277
Paraguay,0.44505576191991114,0.0750929365331852,1.0,1,0.5614492016296276
Papua New Guinea,0.4439301907874129,0.16845507988378342,0.8571428571428571,21,0.5600292649210401
Uganda,0.4434560326673444,0.18353783222335182,0.8333333333333334,6,0.5594311023519044
Dominica,0.44341831675804394,0.0723638612634065,1.0,1,0.5593835227697996
Oman,0.4427704826111501,0.07128413768525016,1.0,1,0.558566263460555
South Africa,0.4426998325781987,0.1600552765192201,0.8666666666666667,15,0.5584771366409751
Caribbean Netherlands,0.44177629564761234,0.06962715941268721,1.0,1,0.5573120712340778
Montserrat,0.4414389132334285,0.06906485538904747,1.0,2,0.5568864547084761
Mali,0.44073070449694196,0.0678845074949032,1.0,5,0.5559930313136813
China,0.43928394307379304,0.19367836666144994,0.8076923076923077,26,0.5541679048565572
São Tomé and Príncipe,0.43892734757485946,0.06487891262476578,1.0,4,0.5537180505342195
Nigeria,0.4385243441240654,0.16677134277087818,0.8461538461538461,13,0.5532096513962638
Bolivia,0.4371835663598358,0.061972610599726266,1.0,2,0.551518226029604
Antigua and Barbuda,0.43673700266151244,0.06122833776918735,1.0,1,0.5509548745277183
Zambia,0.43595028386600154,0.05991713977666921,1.0,2,0.549962408689862
Republic of the Congo,0.4357404280973733,0.05956738016228876,1.0,2,0.5496976702821501
Vanuatu,0.4334173824234132,0.05569563737235532,1.0,4,0.546767088879569
Lebanon,0.4308838682798623,0.05147311379977043,1.0,1,0.5435709961313754
Belize,0.4308694249715075,0.10273109290123034,0.9230769230769231,13,0.5435527755292878
Barbados,0.4304333879996814,0.0507223133328023,1.0,1,0.543002703761524
Algeria,0.4301568405722484,0.27248362317596947,0.6666666666666666,6,0.5426538321242371
Chad,0.42990840354330573,0.0498473392388428,1.0,1,0.5423404224720322
Luxembourg,0.4292726347798968,0.04878772463316134,1.0,1,0.5415383839519664
Thailand,0.4283958345716741,0.13621527984167905,0.8666666666666667,15,0.5404322781130673
Greece,0.42751003214957634,0.16349711240615655,0.8235294117647058,17,0.5393148157516253
Equatorial Guinea,0.4257720720163987,0.04295345336066445,1.0,1,0.5371223346903145
Angola,0.42556973734771775,0.2092828955795295,0.75,4,0.5368670843421268
Taiwan,0.4229999831481912,0.17166663858031864,0.8,5,0.5336252738384619
Macau,0.422492024067416,0.037486706779026636,1.0,1,0.5329844704947833
Libya,0.4173602623272359,0.13149787310949568,0.8461538461538461,13,0.526510622095319
Denmark,0.4127919651991094,0.10465327533184898,0.875,8,0.5207475986837602
Guinea,0.4122014418012472,0.35366906966874534,0.5,2,0.520002638347008
Somalia,0.40599520785095916,0.12593404207043915,0.8260869565217391,23,0.5121733158336126
Germany,0.40361595034540204,0.1689895468719664,0.7555555555555555,45,0.5091718217709277
Canada,0.4023940692374721,0.07954567095134234,0.8866666666666667,150,0.5076303875704712
United Arab Emirates,0.39850794726874905,0.14566139359606323,0.7777777777777778,9,0.5027279455318316
Senegal,0.3971115367548467,0.1618525612580778,0.75,4,0.5009663380316938
Australia,0.39548958673968343,0.17134443318402529,0.7317073170731707,41,0.49892020669487386
Syria,0.3924214685551997,0.32070244759199956,0.5,4,0.49504969730577464
Finland,0.3919620893999697,0.17707967280947332,0.7142857142857143,7,0.49447017877794663
Italy,0.3892760834907615,0.138989550915975,0.7647058823529411,17,0.4910817137757369
Panama,0.3891198724734801,0.10307857533458806,0.8181818181818182,11,0.4908846495908806
Botswana,0.3864048860789521,0.3106748101315869,0.5,2,0.4874596249668485
Austria,0.3852610096409162,0.07067311130628887,0.8571428571428571,7,0.4860165956481678
Pakistan,0.3825489920988833,0.17091498683147216,0.7,10,0.4825953163073244
Belgium,0.3789674983624759,0.09827916393745975,0.8,5,0.4780771705579625
Maldives,0.3757081095547897,0.11335966977080338,0.7692307692307693,13,0.47396536839640496
Norway,0.3717061560550901,0.14331978390134062,0.7142857142857143,7,0.46891680192538016
United States,0.36967241879248536,0.11673269309151472,0.7490820073439413,817,0.4663511904669685
Vietnam,0.36148186504432955,0.2691364417405493,0.5,2,0.45601859788807686
Unknown,0.35808088158691675,0.22470844605571402,0.5581395348837209,43,0.4517281704623477
Israel,0.3507329055701633,0.10836436642646266,0.7142857142857143,7,0.4424585111944776
Bahamas,0.3498896122526573,0.08314935375442879,0.75,20,0.4413946751533243
Mozambique,0.32097626551350644,0.0905159980780663,0.6666666666666666,3,0.40491975036388167
South Korea,0.31772631854961086,0.07121053091601806,0.6875,16,0.40081985932922487
Japan,0.3142158020813534,0.16369300346892235,0.54,50,0.39639125321499713
Cyprus,0.31280619312292585,0.076899210760432,0.6666666666666666,3,0.3946129955402621
Saudi Arabia,0.3091826238521907,0.07085992864253998,0.6666666666666666,6,0.3900417704305645
France,0.30669147838672767,0.07365246397787939,0.65625,32,0.3868991268510411
Laos,0.305611856147522,0.06490864913475881,0.6666666666666666,3,0.38553715584397286
Ghana,0.2974125171763579,0.051243084182818754,0.6666666666666666,3,0.3751934804820545
Morocco,0.2928075894221286,0.10706026808449995,0.5714285714285714,7,0.3693842466008416
Côte d’Ivoire,0.28495382221176596,0.4749230370196099,0.0,1,0.35947651883427795
Hong Kong,0.27106797411691497,0.11844662352819157,0.5,4,0.341959167091268
Latvia,0.2688668507390748,0.448111417898458,0.0,1,0.3391823937767388
Malta,0.26369975540013363,0.10616625900022268,0.5,4,0.3326639711407125
Sweden,0.25630013959712444,0.0938335659952074,0.5,2,0.32332916696461667
Saint Barthélemy,0.24741118264915132,0.0790186377485855,0.5,2,0.3121155209256789
Ireland,0.2407008261177584,0.06783471019626398,0.5,10,0.3036502349108476
United Kingdom,0.23063255413889275,0.06180694507019758,0.4838709677419355,62,0.2909488528639361
Jamaica,0.21628030668985906,0.1382449555942095,0.3333333333333333,3,0.27284312643296166
Curaçao,0.21525689598590558,0.35876149330984264,0.0,1,0.2715520677121506
Netherlands,0.20818273900314718,0.061256945957626256,0.42857142857142855,14,0.262627838143616
Spain,0.19042231152105718,0.08081137941681577,0.3548387096774194,31,0.24022260562307912
Mauritania,0.12668526976386216,0.2111421162731036,0.0,1,0.15981670085636135
Saint Lucia,0.048520553674680854,0.08086758945780143,0.0,1,0.06120991672090585
Turks and Caicos Islands,0.04413802420609341,0.07356337367682235,0.0,1,0.055681243952706704
Mauritius,0.03737669790078353,0.06229449650130589,0.0,1,0.04715165826731397
Hungary,0.0349491581548764,0.058248596924794005,0.0,2,0.044089254926249
Iceland,0.03157581958801617,0.05262636598002695,0.0,1,0.03983370223545847
French Guiana,0.027080020818094883,0.04513336803015814,0.0,1,0.034162137352957304
Nicaragua,0.02489818623963267,0.04149697706605445,0.0,1,0.031409697351099816
Seychelles,0.023840013776160816,0.03973335629360136,0.0,1,0.030074785783524967
